description,category
Landfill site too close to residential area.,Sanitation
Kidnapping attempt reported. Need police patrol.,Public Safety
Traffic signal not working. Accidents happening.,Public Safety
Street crime increasing. Need more police patrolling.,Public Safety
Zebra crossing faded. Not visible to drivers.,Roads & Infrastructure
Biomedical waste disposal not proper.,Sanitation
Electric meter reading wrong. Overcharged bill.,Electricity
Road collapsed after heavy rain. Traffic blocked completely.,Roads & Infrastructure
Prepaid electricity meter not recharging.,Electricity
Public park has garbage everywhere. Not cleaned.,Sanitation
Fake doctor operating clinic. Need verification.,Healthcare
Ambulance stuck in traffic. Need green corridor.,Healthcare
Vaccination certificate fake. Need verification.,Healthcare
Road signage missing. Causing confusion.,Roads & Infrastructure
Water supply has been disrupted in our area for the past 3 days. No water coming from taps.,Water Supply
Water meter not working. Incorrect billing.,Water Supply
Dialysis center not functioning. Patients suffering.,Healthcare
Footbridge needed over busy road. Pedestrian safety.,Roads & Infrastructure
Water quality testing not done regularly.,Water Supply
Power outage in entire neighborhood for 12 hours. No electricity.,Electricity
Clinic has no medicines. Patients being turned away.,Healthcare
Government hospital staff shortage. Long waiting times.,Healthcare
Accident on highway. Need ambulance and police.,Public Safety
Doctor not available at primary health center.,Healthcare
Power fluctuation damaging appliances. Voltage unstable.,Electricity
Electricity connection delayed for new house.,Electricity
Road construction debris not cleared. Blocking path.,Roads & Infrastructure
Water quality very poor. Dirty and smelly.,Water Supply
Water tanker not coming as scheduled. Shortage.,Water Supply
Drain blocked causing flooding during rain.,Sanitation
Bridge structure cracking. Risk of collapse.,Roads & Infrastructure
Open defecation near residential area. No public toilets.,Sanitation
Cybercrime fraud. Money stolen from bank account.,Public Safety
Hospital emergency room closed. No doctors available.,Healthcare
No water pressure in upper floors. Tank not filling.,Water Supply
Stray dogs near garbage dump. Attacking people.,Sanitation
Frequent power cuts during summer. Load shedding.,Electricity
Hospital equipment not working. No proper treatment.,Healthcare
Traffic congestion due to poor road planning.,Roads & Infrastructure
Drainage water entering homes. Flooding problem.,Sanitation
Water pump not working. No water supply.,Water Supply
Potholes filled with poor quality material. Breaking again.,Roads & Infrastructure
Gang activity in neighborhood. Need police action.,Public Safety
Blood bank shortage. Need urgent donors.,Healthcare
Bridge railing broken. Risk of vehicles falling.,Roads & Infrastructure
Speed breaker too high. Vehicles getting damaged.,Roads & Infrastructure
Medical waste dumped in open area. Health hazard.,Sanitation
Theft in residential area. Need security.,Public Safety
Oxygen shortage at hospital. Critical patients at risk.,Healthcare
Pharmacy selling expired medicines.,Healthcare
Footpath broken and dangerous. People falling and getting injured.,Roads & Infrastructure
Burst water main flooding street. Emergency repair needed.,Water Supply
Hit and run accident. Need to find vehicle.,Public Safety
Power cable hanging low. Risk of electric shock.,Electricity
Contaminated water supply causing illness. Many people sick.,Water Supply
Bore well dried up. Need alternative water source.,Water Supply
Transformer explosion near residential area. Power cut.,Electricity
Fire in residential building. Need immediate help.,Public Safety
Borewell water contaminated. Making people sick.,Water Supply
Garbage truck not coming regularly. Irregular collection.,Sanitation
Robbery in neighborhood. Police not responding.,Public Safety
Large pothole on highway causing accidents. Multiple vehicles damaged.,Roads & Infrastructure
Electricity bill very high. Meter may be faulty.,Electricity
Septic tank overflowing. Sewage on street.,Sanitation
Drunk driving on main road. Need police checkpoints.,Public Safety
Sewage overflow in residential area. Bad smell and health hazard.,Sanitation
Domestic violence case. Need police intervention.,Public Safety
Water supply timing changed without notice.,Water Supply
Electric shock from street pole. Dangerous exposed wires.,Electricity
Garbage segregation not happening. Mixed waste collection.,Sanitation
Solar panel installation causing power issues.,Electricity
Street light not working on main road near school. Very dark at night.,Electricity
Smart meter not installed. Still using old meter.,Electricity
Water connection not approved. Waiting for months.,Water Supply
Garbage not collected for 2 weeks. Piles of trash on street.,Sanitation
Road divider damaged in accident. Not repaired.,Roads & Infrastructure
Mental health services not available at clinic.,Healthcare
Child missing in area. Need police help.,Public Safety
Manhole cover missing. Risk of accidents.,Roads & Infrastructure
Waste burning causing air pollution. Health issues.,Sanitation
