description,category
"Water supply has been disrupted in our area for the past 3 days. No water coming from taps.",Water Supply
"Street light not working on main road near school. Very dark at night.",Electricity
"Large pothole on highway causing accidents. Multiple vehicles damaged.",Roads & Infrastructure
"Sewage overflow in residential area. Bad smell and health hazard.",Sanitation
"Broken water pipe leaking on street. Water wastage and road damage.",Water Supply
"Power outage in entire neighborhood for 12 hours. No electricity.",Electricity
"Garbage not collected for 2 weeks. Piles of trash on street.",Sanitation
"Road collapsed after heavy rain. Traffic blocked completely.",Roads & Infrastructure
"Hospital emergency room closed. No doctors available.",Healthcare
"Street crime increasing. Need more police patrolling.",Public Safety
"Contaminated water supply causing illness. Many people sick.",Water Supply
"Electric shock from street pole. Dangerous exposed wires.",Electricity
"Bridge structure cracking. Risk of collapse.",Roads & Infrastructure
"Public toilet not maintained. Very dirty and unhygienic.",Sanitation
"Ambulance service not responding to emergency calls.",Healthcare
"Fire in residential building. Need immediate help.",Public Safety
"Water meter not working. Incorrect billing.",Water Supply
"Transformer explosion near residential area. Power cut.",Electricity
"Road construction incomplete for months. Causing traffic jams.",Roads & Infrastructure
"Medical waste dumped in open area. Health hazard.",Sanitation
"Clinic has no medicines. Patients being turned away.",Healthcare
"Robbery in neighborhood. Police not responding.",Public Safety
"Burst water main flooding street. Emergency repair needed.",Water Supply
"Illegal electric connections causing frequent power cuts.",Electricity
"Footpath broken and dangerous. People falling and getting injured.",Roads & Infrastructure
"Drain blocked causing flooding during rain.",Sanitation
"Government hospital staff shortage. Long waiting times.",Healthcare
"Traffic signal not working. Accidents happening.",Public Safety
"No water pressure in upper floors. Tank not filling.",Water Supply
"Electric meter reading wrong. Overcharged bill.",Electricity
"Speed breaker too high. Vehicles getting damaged.",Roads & Infrastructure
"Public park has garbage everywhere. Not cleaned.",Sanitation
"Vaccination center closed without notice.",Healthcare
"Drunk driving on main road. Need police checkpoints.",Public Safety
"Water quality very poor. Dirty and smelly.",Water Supply
"Power fluctuation damaging appliances. Voltage unstable.",Electricity
"Road divider damaged in accident. Not repaired.",Roads & Infrastructure
"Septic tank overflowing. Sewage on street.",Sanitation
"Pharmacy selling expired medicines.",Healthcare
"Child missing in area. Need police help.",Public Safety
"Borewell water contaminated. Making people sick.",Water Supply
"Street light pole fallen on road. Blocking traffic.",Electricity
"Manhole cover missing. Risk of accidents.",Roads & Infrastructure
"Stray dogs near garbage dump. Attacking people.",Sanitation
"Doctor not available at primary health center.",Healthcare
"Theft in residential area. Need security.",Public Safety
"Water tanker not coming as scheduled. Shortage.",Water Supply
"Electricity bill very high. Meter may be faulty.",Electricity
"Road widening work causing dust pollution.",Roads & Infrastructure
"Garbage truck not coming regularly. Irregular collection.",Sanitation
"Hospital equipment not working. No proper treatment.",Healthcare
"Accident on highway. Need ambulance and police.",Public Safety
"Water connection illegal. Neighbor stealing water.",Water Supply
"Power cable hanging low. Risk of electric shock.",Electricity
"Traffic congestion due to poor road planning.",Roads & Infrastructure
"Open defecation near residential area. No public toilets.",Sanitation
"Blood bank shortage. Need urgent donors.",Healthcare
"Domestic violence case. Need police intervention.",Public Safety
"Water pump not working. No water supply.",Water Supply
"Electricity pole damaged in storm. Wires exposed.",Electricity
"Bridge railing broken. Risk of vehicles falling.",Roads & Infrastructure
"Waste burning causing air pollution. Health issues.",Sanitation
"Oxygen shortage at hospital. Critical patients at risk.",Healthcare
"Gang activity in neighborhood. Need police action.",Public Safety
"Chlorine smell in water. Over-chlorination issue.",Water Supply
"Frequent power cuts during summer. Load shedding.",Electricity
"Road accident black spot. Need speed limit signs.",Roads & Infrastructure
"Drainage water entering homes. Flooding problem.",Sanitation
"Fake doctor operating clinic. Need verification.",Healthcare
"Kidnapping attempt reported. Need police patrol.",Public Safety
"Water connection not approved. Waiting for months.",Water Supply
"Electric substation making loud noise. Disturbing residents.",Electricity
"Potholes filled with poor quality material. Breaking again.",Roads & Infrastructure
"Garbage segregation not happening. Mixed waste collection.",Sanitation
"Hospital charging extra fees. Overpricing treatment.",Healthcare
"Cybercrime fraud. Money stolen from bank account.",Public Safety
"Rainwater harvesting system not working. Needs repair.",Water Supply
"Solar panel installation causing power issues.",Electricity
"Road construction debris not cleared. Blocking path.",Roads & Infrastructure
"Composting pit not maintained. Bad smell.",Sanitation
"Vaccination certificate fake. Need verification.",Healthcare
"Hit and run accident. Need to find vehicle.",Public Safety
"Water supply timing changed without notice.",Water Supply
"Electricity connection delayed for new house.",Electricity
"Zebra crossing faded. Not visible to drivers.",Roads & Infrastructure
"Plastic waste not collected separately.",Sanitation
"Mental health services not available at clinic.",Healthcare
"Noise pollution from illegal bar. Need action.",Public Safety
"Bore well dried up. Need alternative water source.",Water Supply
"Smart meter not installed. Still using old meter.",Electricity
"Footbridge needed over busy road. Pedestrian safety.",Roads & Infrastructure
"Biomedical waste disposal not proper.",Sanitation
"Dialysis center not functioning. Patients suffering.",Healthcare
"Drug peddling in area. Need police raid.",Public Safety
"Water quality testing not done regularly.",Water Supply
"Prepaid electricity meter not recharging.",Electricity
"Road signage missing. Causing confusion.",Roads & Infrastructure
"Landfill site too close to residential area.",Sanitation
"Ambulance stuck in traffic. Need green corridor.",Healthcare
"Illegal weapons in neighborhood. Security threat.",Public Safety
</content>
